"Category","Description","Nutrient Data Bank Number","Data.Alpha Carotene","Data.Ash","Data.Beta Carotene","Data.Beta Cryptoxanthin","Data.Carbohydrate","Data.Cholesterol","Data.Choline","Data.Fiber","Data.Kilocalories","Data.Lutein and Zeaxanthin","Data.Lycopene","Data.Manganese","Data.Niacin","Data.Pantothenic Acid","Data.Protein","Data.Refuse Percentage","Data.Retinol","Data.Riboflavin","Data.Selenium","Data.Sugar Total","Data.Thiamin","Data.Water","Data.Fat.Monosaturated Fat","Data.Fat.Polysaturated Fat","Data.Fat.Saturated Fat","Data.Fat.Total Lipid","Data.Household Weights.1st Household Weight","Data.Household Weights.1st Household Weight Description","Data.Household Weights.2nd Household Weight","Data.Household Weights.2nd Household Weight Description","Data.Major Minerals.Calcium","Data.Major Minerals.Copper","Data.Major Minerals.Iron","Data.Major Minerals.Magnesium","Data.Major Minerals.Phosphorus","Data.Major Minerals.Potassium","Data.Major Minerals.Sodium","Data.Major Minerals.Zinc","Data.Vitamins.Vitamin A - IU","Data.Vitamins.Vitamin A - RAE","Data.Vitamins.Vitamin B12","Data.Vitamins.Vitamin B6","Data.Vitamins.Vitamin C","Data.Vitamins.Vitamin E","Data.Vitamins.Vitamin K"
"CARBONATED BEV","CARBONATED BEV,GINGER ALE","14136","0","0.0","0","0","8.77","0","0","0.0","34","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.1","8.699999809","0.0","91.23","0.0","0.0","0.0","0.0","30.5","1 fl oz","488","1 can,  or bottle (16 fl oz)","3","0.018","0.18","1","0","1","7","0.05","0","0","0.0","0.0","0.0","0.0","0.0"
"TEA","TEA,RTD,NESTLE,COOL NESTEA ICE TEA LEMON FLAVOR","14137","0","0.12","0","0","9.09","0","0","0.0","36","0","0","0.131","0.0","0.0","0.0","0","0","0.0","0.0","9.090000153","0.0","91.18","0.0","0.0","0.0","0.0","30.63","1 fl oz","245","1 serving,  8 fl oz","3","0.008","0.0","1","36","19","21","0.06","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,PINOT BLANC","14138","0","0.24","0","0","1.94","0","0","0.0","81","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","87.14","0.0","0.0","0.0","0.0","29.31","1 fl oz","147","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,WHITE,MUSCAT","14140","0","0.21","0","0","5.23","0","0","0.0","82","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","85.69","0.0","0.0","0.0","0.0","29.96","1 fl oz","150","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,GRAPE SODA","14142","0","0.1","0","0","11.2","0","0","0.0","43","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","88.8","0.0","0.0","0.0","0.0","31.0","1 fl oz","372","1 can,  or bottle (12 fl oz)","3","0.022","0.08","1","0","1","15","0.07","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,LO CAL,OTHER THAN COLA OR PEPPER,WO/ CAFFEINE","14143","0","0.1","0","0","0.0","0","0","0.0","0","0","0","0.017","0.0","0.0","0.1","0","0","0.0","0.0","0.0","0.0","99.8","0.0","0.0","0.0","0.0","29.6","1 fl oz","355","1 can,  (12 fl oz)","4","0.025","0.04","1","0","2","6","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,LEMON-LIME SODA,CONTAINS CAFFEINE","14144","0","0.0","0","0","10.42","0","0","0.0","41","0","0","0.0","0.015","0.0","0.09","0","0","0.0","0.0","10.18999958","0.0","89.49","0.0","0.0","0.0","0.0","30.8","1 fl oz","369","1 can, 12 fl oz","2","0.0","0.02","1","0","1","10","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,SPRITE,LEMON-LIME,WO/ CAFFEINE","14145","0","0.01","0","0","10.14","0","0","0.0","40","0","0","0.002","0.015","0.0","0.05","0","0","0.0","0.0","8.979999542","0.0","89.78","0.0","0.0","0.0","0.02","30.75","1 fl oz","369","1 can, 12 fl oz","2","0.001","0.11","1","0","1","9","0.04","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,LO CAL,COLA OR PEPPR-TYPE,W/ ASPRT,WO/ CAFFEN","14146","0","0.0","0","0","0.15","0","0","0.0","1","0","0","0.0","0.0","0.0","0.12","0","0","0.023","0.1","0.0","0.005","99.74","0.0","0.0","0.0","0.0","29.6","1 fl oz","473","1 bottle, 16 fl oz","3","0.002","0.02","0","10","7","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,COLA,WO/CAFFEINE","14147","0","0.06","0","0","10.58","0","0","0.0","41","0","0","0.0","0.0","0.0","0.0","0","0","0.0","0.1","10.57999992","0.0","89.62","0.0","0.0","0.0","0.0","30.69","1 fl oz","368","1 can, 12 fl oz","2","0.0","0.02","0","11","3","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,COLA,W/HIGHER CAFFEINE","14148","0","0.06","0","0","10.58","0","0","0.0","41","0","0","0.0","0.0","0.0","0.0","0","0","0.0","0.1","10.57999992","0.0","89.62","0.0","0.0","0.0","0.0","30.69","1 fl oz","368","1 can, 12 fl oz","2","0.0","0.02","0","11","3","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,RED SUGAR,COLA,CONTAINS CAFFEINE & SWEETENERS","14149","0","0.06","0","0","5.16","0","0","0.0","20","0","0","0.0","0.0","0.0","0.0","0","0","0.0","0.1","5.159999847","0.0","94.78","0.0","0.0","0.0","0.0","29.6","1 fl oz","355","1 can,  (8 fl oz)","2","0.0","0.02","0","11","3","4","0.01","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,ORANGE","14150","0","0.1","0","0","12.3","0","1","0.0","48","0","0","0.013","0.0","0.0","0.0","0","0","0.0","0.0","0.0","0.0","87.6","0.0","0.0","0.0","0.0","31.0","1 fl oz","496","1 can,  or bottle (16 fl oz)","5","0.015","0.06","1","1","2","12","0.1","0","0","0.0","0.0","0.0","0.0","0.0"
"CARB BEV","CARB BEV,LO CAL,OTHR THN COLA OR PEPPER,W/ ASPRT,CONTNS CAFF","14151","0","0.1","0","0","0.0","0","0","0.0","0","0","0","0.017","0.0","0.0","0.1","0","0","0.0","0.0","0.0","0.0","99.8","0.0","0.0","0.0","0.0","29.6","1 fl oz","355","1 can,  (12 fl oz)","4","0.025","0.04","1","0","2","6","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"ALCOHOLIC BEV","ALCOHOLIC BEV,WINE,TABLE,RED,BURGUNDY","14152","0","0.34","0","0","3.69","0","0","0.0","86","0","0","0.0","0.0","0.0","0.07","0","0","0.0","0.0","0.0","0.0","85.62","0.0","0.0","0.0","0.0","29.53","1 fl oz","148","1 serving,  5 fl oz","0","0.0","0.0","0","0","0","0","0.0","0","0","0.0","0.0","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,PEPPER-TYPE,CONTAINS CAFFEINE","14153","0","0.0","0","0","10.4","0","0","0.0","41","0","0","0.035","0.0","0.0","0.0","0","0","0.0","0.1","0.0","0.0","89.4","0.0","0.0","0.07","0.1","30.7","1 fl oz","491","1 can,  or bottle (16 fl oz)","3","0.006","0.04","0","11","1","10","0.04","0","0","0.0","0.0","0.0","0.0","0.0"
"ENGY DRK","ENGY DRK,RED BULL,W/ ADD CAFFEINE,NIACIN,PANTO,VIT B6 & B12","14154","0","0.28","0","0","10.94","0","0","0.0","45","0","0","0.003","8.5","1.4","0.25","0","0","0.575","0.2","10.06000042","0.025","88.45","0.0","0.0","0.0","0.08","255.25","1 serving,  8.3 fl oz can","0","","13","0.005","0.02","3","0","3","84","0.0","0","0","1.75","0.835","0.0","0.0","0.0"
"CARBONATED BEV","CARBONATED BEV,TONIC H2O","14155","0","0.1","0","0","8.8","0","0","0.0","34","0","0","0.001","0.0","0.0","0.0","0","0","0.0","0.0","8.800000191","0.0","91.1","0.0","0.0","0.0","0.0","30.5","1 fl oz","336","1 bottle,  (11 fl oz)","1","0.006","0.01","0","0","0","12","0.1","0","0","0.0","0.0","0.0","0.0","0.0"
"ENG DRK","ENG DRK,RED BULL,SGR FR,W/ADD CAFF,NIACIN,PANTO,VIT B6 & B12","14156","0","0.62","0","0","0.7","0","0","0.0","5","0","0","0.003","8.5","1.4","0.25","0","0","0.575","0.0","0.0","0.025","98.35","0.0","0.0","0.0","0.08","250.0","1 serving,  8.3 fl oz can","0","","13","0.005","0.02","3","0","3","84","0.0","0","0","1.75","0.835","0.0","0.0","0.0"
